Informazioni cronologiche,Genere ,Età,Grado di istruzione ,Quanto tempo trascorri in media giocando ai videogiochi ogni giorno?,Quale stile di videogioco preferisci di più?,"Se hai premuto ""Altro"" rispondi qui ",Credi che i videogiochi siano una forma d'arte?,"Se hai premuto ""Dipende"" puoi specificare qui",C’è un videogioco che ti ha insegnato qualcosa di utile per la tua formazione scolastica e professionale?”  ,Se hai premuto “Sì” scrivi quale videogioco ti è stato più utile ,"
Qual è il dispositivo che preferisci utilizzare per giocare?","Se hai premuto ""Altro"" rispondi qui ","
Quali videogiochi ritieni ti abbiano arricchito culturalmente riguardo alla mitologia o alla storia?","Se hai premuto ""Altro"" rispondi qui ",Pensi che sia possibile utilizzare i videogiochi che non sono stati concepiti per scopi didattici come strumenti formativi?,"Se hai premuto ""Dipende"" puoi specificare qui","
Credi che i videogiochi online possano facilitare la connessione tra le persone e offrire un'alternativa alla socialità tradizionale?","Sei hai premuto ""Dipende"" puoi specificare qui ",Hai mai pensato di creare un gioco?,"Pensi che un videogioco ti abbia ispirato ad approfondire conoscenze su un argomento ( per esempio letterario, culturale, storico, sociale, scientifico, artistico, o ecc.) ?","Hai mai imparato un'altra lingua o migliorato le tue competenze linguistiche grazie ai videogiochi, sia online che in modalità single player?",Sei hai premuto Altro specifica qui,"Secondo te, è possibile paragonare l'importanza narrativa di un videogioco a quella di media più tradizionali come libri, film o prodotti di animazione?  ",Credi che i videogiochi ti abbiano insegnato a risolvere problemi in modo creativo e originale (problem solving)?,Pratichi attività fisica ?,"Pensi che gli Esport (Sport elettronici) possano essere considerati una pratica professionale (ad esempio, league of legends, counter-strike, street fighter,  StarCraft,  Assetto corsa) ?","Hai migliorato le tue abilità sociali grazie ai videogiochi? (ad esempio comunicazione, espressione, empatia ecc.)",Frequenti amici che non usano videogiochi o preferisci la compagnia di chi condivide come te questa passione?
20/04/2024 17.04.38,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Multiplayer Online,,Si,,Si,"Minecraft. Miglioramento inglese, logica con redstone, basi di programmazione ",Smartphone /Tablet,,Altro (specifica),Age of Mythology ,Si,,No,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,No,No,Non ho preferenze
20/04/2024 17.04.39,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Single player,,Si,,No,,Console,,God of War (saga Greca),,Si,,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 17.05.21,Uomo,Generazione Z (1997-2012),licenza media,4-6 ore,Entrambi,,Si,,Non saprei,,"Console, PC",,"Assassin's creed (saga), God of War (saga Greca), Altro (specifica)",Call of duty e battlefield,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
20/04/2024 17.06.53,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Single player,,Dipende (specifica),"Può essere, dipende dagli intenti di produzione ",Non saprei,,Console,,Nessuno,,No,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 17.09.32,Donna,Millennials (1981-1996),Laurea o superiore,2-3 ore,Entrambi,,Si,,Non saprei,,"Console, PC, VR",,"Assassin's creed (saga), God of war (saga norrena), Age of Empire",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 17.11.00,Uomo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Multiplayer Online,,Si,,No,,"PC, Smartphone /Tablet",,Nessuno,,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,No,No,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 17.11.58,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Si,Metal Gear Solid,"Console, PC",,"Age of Empire, Sid Meier's Civilization",,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
20/04/2024 17.13.05,Uomo,Millennials (1981-1996),Laurea o superiore,4-6 ore,Single player,,Si,,Si,"Indovinelli, rompicapi per sviluppare abilità di logica",PC,,"Assassin's creed (saga), God of war (saga norrena)",,Si,,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 17.14.15,Uomo,Generazione Z (1997-2012),licenza media,4-6 ore,Entrambi,,Si,,Non saprei,,PC,,Nessuno,,Si,,Si,,Si,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
20/04/2024 17.15.18,Uomo,Generazione Z (1997-2012),licenza media,2-3 ore,Entrambi,,Si,,Si,Read dead redemtion 2,PC,,Altro (specifica),RD2,No,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,Si,Non ho preferenze
20/04/2024 17.15.52,Uomo,Generazione Z (1997-2012),licenza media,2-3 ore,Entrambi,,Si,,Si,"quando studierò filosofia, tutte le frasi di hollow knight, presenti nella radura degli spiriti, sono molto particolari (esempio “ogni vittoria contro la morte è effimera”)",PC,,God of war (saga norrena),,Dipende (Specifica),non deve essere troppo violento tipo gta o inutile come fortnite,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,No,Non ho preferenze
20/04/2024 17.15.57,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Multiplayer Online,,Si,,Non saprei,,PC,,Nessuno,,Dipende (Specifica),"Casi in cui ho esperienza: utilizzare minecraft per didattica, apprendimento dell'inglese. Non penso che l'apprendimento 'indiretto' come nel caso assassin's creed/storia possa avere un impatto significativo sulla cultura del videogiocatore. ",Dipende (specifica),Possono sicuramente offrire opportunità di connessione ma non penso possano sostituire la socialità tradizionale. ,L'ho fatto,No,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,Si,Si,Preferisco la compagnia di chi non videogioca
20/04/2024 17.18.09,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Si,Metal Gear solid 3,PC,,Altro (specifica),Fate Grand Order,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,Si,Preferisco la compagnia di chi videogioca
20/04/2024 17.20.53,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Single player,,Si,,Si,World of warcraft per l'inglese ,"Console portatili, PC",,"God of War (saga Greca), God of war (saga norrena), Hades",,Si e li utilizzo,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Si tutti i giorni,Si,Si,Non ho preferenze
20/04/2024 17.22.02,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,PC,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Dipende (specifica),Non deve essere sostitutivo,No,No,Si ho imparato un'altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
20/04/2024 17.22.53,Uomo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Single player,,Si,,Si,Battlefield Bad Company,Console,,"Assassin's creed (saga), God of War (saga Greca), Hades",,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Si tutti i giorni,Si,Si,Preferisco la compagnia di chi videogioca
20/04/2024 17.22.53,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,PC,,Nessuno,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Preferisco la compagnia di chi non videogioca
20/04/2024 17.23.15,Preferisco non specificarlo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Si,"Lingua inglese parlato, slang americano ","Console, PC, Smartphone /Tablet",,"Assassin's creed (saga), Age of Empire, Sid Meier's Civilization, Ryse son of rome",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,No,Si,Si ogni settimana,No,Si,Non ho preferenze
20/04/2024 17.23.45,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Entrambi,,Si,,Non saprei,,"Console, Console portatili, Smartphone /Tablet",,Nessuno,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 17.25.39,Uomo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Single player,,No,,Si,hearts of iron iv,PC,,"Sid Meier's Civilization, Altro (specifica)","hearts of iron iv, europa universalis 3",No,,No,,No,No,Si ho imparato un'altra lingua,,No,No,Si tutti i giorni,No,No,Non ho preferenze
20/04/2024 17.26.23,Uomo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Entrambi,,Si,,Non saprei,,"Console portatili, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 17.28.37,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Entrambi,,Si,,No,,"Console, Smartphone /Tablet",,Assassin's creed (saga),,Si,,No,,No,Si,No non ho imparato un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
20/04/2024 17.28.43,Uomo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Single player,,Si,,Non saprei,,Console,,God of War (saga Greca),,Si,,Si,,Si,Si,No non ho imparato un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
20/04/2024 17.29.00,Donna,Generazione Z (1997-2012),licenza media,2-3 ore,Single player,,Si,,Si,"Pokémon Diamante, perché giocavo in inglese","Console, Smartphone /Tablet",,"Assassin's creed (saga), Hades",,No,,Mi astengo dal giudizio,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 17.30.09,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,4-6 ore,Single player,,Si,,Si,Minecraft,PC,,Assassin's creed (saga),,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
20/04/2024 17.31.38,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,Assassin's Creed,Console,,"Assassin's creed (saga), Hades, Immortals fenyx rising",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,No,No,Non ho preferenze
20/04/2024 17.32.19,Uomo,Generazione Z (1997-2012),licenza media,Meno di un’ora,Single player,,Si,,Si,Minecraft,PC,,Altro (specifica),"Hearts of Iron, Cossacks European Wars, Robin Hood",Si,,No,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,No,No,Preferisco la compagnia di chi videogioca
20/04/2024 17.34.06,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,4-6 ore,Single player,,Si,,Non saprei,,"Console, Smartphone /Tablet",,"God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 17.35.27,Uomo,Generazione Z (1997-2012),licenza media,2-3 ore,Single player,,Si,,Si,Minecraft ,"PC, Smartphone /Tablet",,"Sid Meier's Civilization, Altro (specifica)",Europa universalis IV,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si tutti i giorni,Si,No,Non ho preferenze
20/04/2024 17.35.35,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Single player,,No,,No,,"PC, Smartphone /Tablet",,Assassin's creed (saga),,Si,,No,,No,Si,Si ho imparato un'altra lingua,,Si,No,Si tutti i giorni,No,No,Preferisco la compagnia di chi non videogioca
20/04/2024 17.37.15,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,Red Dead Redemption ,"Console, Console portatili",,God of war (saga norrena),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 17.38.14,Uomo,Generazione Z (1997-2012),Laurea o superiore,4-6 ore,Entrambi,,Si,,Si,Portal 2,"Console, Console portatili, PC",,God of War (saga Greca),,Si,,Dipende (specifica),Possono aiutare come socializzazione parallela,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
20/04/2024 17.40.17,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Entrambi,,Si,,No,,PC,,Sid Meier's Civilization,,Dipende (Specifica),"Per sviluppare soft skill sì, per apprendere nozioni così così. Sicuramente essere spunti per accedere la curiosità su certi argomenti per poi approfondirli con mezzi didattici (ad esempio Disco Elysium con le diverse ideologie politiche e la loro storia)",Dipende (specifica),"Da studentessa di psicologia, c'è dell'evidenza sul fatto che le comunità e i rapporti nati online non siano soddisfacenti e non rispondono alle necessità emotive e relazionali delle persone rispetto ai rapporti in presenza. In questi termini l'online non può sostituire la presenza, ma può fare da spazio ausiliario quando ci sono motivi o limiti per cui la relazione vis a vis non è attuabile. Il COVID ne è stato un esempio, le comunità di hobby inusuali un'altro...",No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,No,Non ho preferenze
20/04/2024 17.41.21,Donna,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,No,,PC,,Assassin's creed (saga),,Si,,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Preferisco la compagnia di chi videogioca
20/04/2024 17.43.00,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Entrambi,,Si,,No,,PC,,Nessuno,,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
20/04/2024 17.46.32,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Si,Europa Universalis IV,"Console, Console portatili, PC",,"Assassin's creed (saga), Sid Meier's Civilization, Altro (specifica)",Europa Universalis IV,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Preferisco la compagnia di chi videogioca
20/04/2024 17.51.49,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Entrambi,,Si,,Non saprei,,"Console, Console portatili, PC",,"Assassin's creed (saga), Age of Empire, Sid Meier's Civilization",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
20/04/2024 17.55.49,Donna,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Dipende (specifica),,Non saprei,,Console,,Nessuno,,Dipende (Specifica),,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,Si,Non ho preferenze
20/04/2024 17.55.50,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Si,Trailmakers,Console,,Nessuno,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Preferisco la compagnia di chi videogioca
20/04/2024 17.57.58,Uomo,Millennials (1981-1996),Laurea o superiore,4-6 ore,Multiplayer Online,,Si,,No,,PC,,Hades,,Si,,Dipende (specifica),,No,No,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,No,Preferisco la compagnia di chi videogioca
20/04/2024 17.59.47,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Entrambi,,Dipende (specifica),"Dipende dal significato che dà la persona a ""forma d'arte""",Non saprei,,"Console, Console portatili",,Assassin's creed (saga),,Si,,Dipende (specifica),"Dipende se il gioco è conosciuto per la sua ""tossicità"" o meno",Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,Si,Si,Non ho preferenze
20/04/2024 18.00.01,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Non saprei,,"Console, PC",,"Assassin's creed (saga), God of war (saga norrena)",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 18.02.30,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Non saprei,,"Console, PC",,"God of War (saga Greca), Altro (specifica)",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,No,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 18.04.57,Donna,Millennials (1981-1996),Laurea o superiore,Non gioco regolarmente,Entrambi,,Si,,Si,Assassin’s Creed,"Console, PC",,"Assassin's creed (saga), Age of Empire",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,No,Non ho preferenze
20/04/2024 18.05.01,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,"Console, Console portatili",,Hades,,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,No,Si,Non ho preferenze
20/04/2024 18.12.49,Donna,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Entrambi,,Dipende (specifica),,No,,Console portatili,,Nessuno,,No,,No,,Si,No,No non ho imparato un altra lingua,,Si,Si,Si ogni settimana,No,No,Non ho preferenze
20/04/2024 18.13.32,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Si,,No,,PC,,Assassin's creed (saga),,Si,,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,No,Mai o quasi mai,Si,No,Non ho preferenze
20/04/2024 18.14.15,Uomo,Millennials (1981-1996),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Dipende (Specifica),"Dipende semplicemente perché potenzialmente potrebbe pure essere possibile, ma credo risulterebbe inutilmente complesso ",Mi astengo dal giudizio,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 18.14.30,Uomo,Generazione Z (1997-2012),Laurea o superiore,4-6 ore,Single player,,Si,,No,,"Console, PC",,God of War (saga Greca),,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 18.18.46,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Multiplayer Online,,Si,,Non saprei,,Console,,Age of Empire,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,Si,Non ho preferenze
20/04/2024 18.19.02,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Entrambi,,Si,,Si,Qualsiasi gioco in lingua inglese per mantenere il livello,"Console, Console portatili, Smartphone /Tablet",,"Assassin's creed (saga), Age of Empire",,Si,,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,No,Meno di una volta a settimana,Si,No,Non ho preferenze
20/04/2024 18.23.19,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Single player,,Si,,Non saprei,,PC,,"Age of Empire, Sid Meier's Civilization",,No,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 18.24.19,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Multiplayer Online,,Si,,Non saprei,,PC,,Assassin's creed (saga),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 18.24.23,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Dipende (specifica),"Alcuni sono puro intrattenimento, tipo gli sparatutto, devi stare lì a premere pulsanti e non a pensare altro, altri sono un viaggio nella mente del videogiocatore",Non saprei,,"Console, PC, Smartphone /Tablet",,"God of War (saga Greca), God of war (saga norrena), Hades, Immortals fenyx rising",,Si,,Dipende (specifica),"Alcuni sono terra purtroppo di inutile bullismo, altri no, ma si può instaurare connessioni con altre persone. In una live di Fornite ho visto un tizio che si era unito alla live di uno streamer e poi è andato sul gioco ad infastidirlo solo per puro esibizionismo",Si,Si,Altro (Specifica),"Sto su Duolingo, è un gioco???",Si,Si,Meno di una volta a settimana,Si,No,Preferisco la compagnia di chi non videogioca
20/04/2024 18.26.32,Uomo,Generazione Z (1997-2012),licenza media,2-3 ore,Single player,,Si,,Si,Assassin's Creed odissey,Console,,Assassin's creed (saga),,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,No,No,Preferisco la compagnia di chi videogioca
20/04/2024 18.30.04,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Multiplayer Online,,Si,,No,,"Console, Smartphone /Tablet",,Assassin's creed (saga),,Si,,Dipende (specifica),È un’alternativa ma va sempre preferita quella tradizionale,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 18.31.01,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Si,Minecraft,"Console, Smartphone /Tablet",,Nessuno,,Si,,Si,,Si,No,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 18.31.33,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,"Difficile dirne uno solo, da bambino giocavo molto a Pokémon e Zelda e in entrambi spesso si scopre qualcosa interagendo con oggetti/persone a caso, per esempio piazzando una bomba su un muro malridotto per scoprire un passaggio segreto. Mi hanno insegnato a provare sempre tutto, anche le cose impensabili, per trovare una soluzione a un problema.","Console portatili, Smartphone /Tablet",,Altro (specifica),Kingdom Come Deliverance,Si,,Dipende (specifica),"In misura equilibrata, sì.",Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,No,Si,Preferisco la compagnia di chi videogioca
20/04/2024 18.34.08,Altro,Generazione Alpha (2013- in poi),Laurea o superiore,Mai,Multiplayer Online,,No,,No,,Altro,Altro,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades, Age of Empire, Ryse son of rome, Immortals fenyx rising, Altro (specifica), Nessuno",,No,,No,,No,No,No non gioco ai videogiochi,,Si,Si,Mai o quasi mai,No,No,Non gioco ai videogiochi
20/04/2024 18.35.19,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Single player,,Si,,No,,Console,,Sid Meier's Civilization,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,No,Non ho preferenze
20/04/2024 18.36.01,Preferisco non specificarlo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Single player,,Si,,Non saprei,,"Console, PC",,Nessuno,,No,,Si,,Si,No,No non ho imparato un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 18.36.15,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Si,,Console,,Assassin's creed (saga),,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 18.36.21,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,No,,"Console, PC",,Nessuno,,No,,No,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 18.38.07,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Entrambi,,Si,,Si,Assassin's creed 2,Console,,Assassin's creed (saga),,Dipende (Specifica),Dipende dall'uso che ne fa il/la professore/professoressa ,Dipende (specifica),Si se l'amicizia online può essere traspostata (quando possibile ovviamente) anche dal vivo ,No,Si,Si ho imparato un'altra lingua,,Si,No,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 18.41.22,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,No,,PC,,Assassin's creed (saga),,No,,Si,,Si,Si,No non ho imparato un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 18.41.44,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Mai,Single player,,Si,,Si,Minecraft,PC,,Nessuno,,Dipende (Specifica),,Mi astengo dal giudizio,,No,No,Ho potenziato le conoscenze di un altra lingua,,No,Si,Si ogni settimana,Si,No,Non gioco ai videogiochi
20/04/2024 18.41.57,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Single player,,Si,,Non saprei,,Console,,Nessuno,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 18.46.00,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,4-6 ore,Entrambi,,Dipende (specifica),Alcuni videogiochi ad esempio quelli di ideo kojima( non ricordo come ai scrive scusa) sono chiaramente puntati più su un lato artistico e cinematografico data le costante presenza di cut scene ,Si,Ho imparato l'inglese in gran parte da videogiochi e anche alcune nozioni base di chimica ,PC,,Assassin's creed (saga),,Si,,Dipende (specifica),"Ogni tanto gioco a league of legends e quello non aiuta essendo tossico, ma altri giochi con delle community amichevoli esistono e permettono la creazione di amicizie",No,Si,Si ho imparato un'altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 18.53.17,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Si,,PC,,Age of Empire,,Dipende (Specifica),"Dipende dal contenuto del videogioco, non lo consiglierei se presenta elementi di violenza o temi che potrebbero essere controversi.",No,,L'ho fatto,Si,Ho potenziato le conoscenze di un altra lingua,,No,No,Mai o quasi mai,No,No,Preferisco la compagnia di chi non videogioca
20/04/2024 18.53.23,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Non saprei,,Console,,Assassin's creed (saga),,Si,,Dipende (specifica),dipende da chi trovi in lobby/con chi giochi,No,Si,Si ho imparato un'altra lingua,,Si,Si,Si tutti i giorni,Si,Si,Non ho preferenze
20/04/2024 18.53.54,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Entrambi,,Si,"Per alcuni l'intento artistico è evidente (da Disco elysium a Death stranding o Hellblade). Per altri ""l'arte"" non è un aspetto importante o ricercato, puntando invece su una formula consolidata che assicura popolarità e vendite (gli ultimi call of duty, fifa ecc).",Si,Assassin's Creed 2,"Console, PC",,"Assassin's creed (saga), God of war (saga norrena)",,Si,,Mi astengo dal giudizio,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
